time,有色金属I,煤炭I,银行I,钢铁I,国防军工I,家用电器I,公用事业I,通信I,农林牧渔I,食品饮料I,计算机I,机械设备I,美容护理I,环保I,交通运输I,建筑材料I,石油石化I,纺织服装I,房地产I,传媒I,商业贸易I,综合I,汽车I,轻工制造I,建筑装饰I,电子I,非银金融I,化工I,休闲服务I,医药生物I,电气设备I,sum,aver
2025-05-09,82.08955223880596,43.24324324324324,95.23809523809524,81.81818181818181,89.85507246376811,95.78947368421052,82.44274809160305,88.18897637795276,48.54368932038835,45.52845528455285,83.92857142857143,91.01338432122371,74.19354838709677,90.22556390977444,56.45161290322581,70.4225352112676,79.16666666666667,82.6923076923077,52.94117647058823,82.3076923076923,47.474747474747474,73.6842105263158,92.91044776119404,84.9673202614379,80.76923076923077,79.60526315789474,69.87951807228916,80.55555555555556,38.1578947368421,69.49152542372882,88.85714285714286,74.91720656953534,78.63982802423295
2025-05-08,90.29850746268657,43.24324324324324,90.47619047619048,90.9090909090909,90.57971014492753,95.78947368421052,77.09923664122137,90.55118110236221,50.48543689320388,51.21951219512195,93.75,94.26386233269598,70.96774193548387,93.23308270676692,61.29032258064516,76.05633802816901,91.66666666666667,82.6923076923077,70.58823529411765,90.0,66.66666666666667,78.94736842105263,95.14925373134328,86.9281045751634,85.25641025641026,91.00877192982456,87.95180722891567,86.86868686868686,48.68421052631579,78.38983050847457,93.71428571428571,80.47501730375002,84.71760797342192
2025-05-07,94.02985074626865,51.351351351351354,88.0952380952381,90.9090909090909,90.57971014492753,95.78947368421052,80.91603053435115,91.33858267716535,50.48543689320388,46.34146341463415,92.85714285714286,93.11663479923519,74.19354838709677,92.4812030075188,65.3225806451613,76.05633802816901,89.58333333333333,86.53846153846153,73.52941176470588,86.92307692307692,61.61616161616162,84.21052631578948,94.02985074626865,86.9281045751634,83.97435897435898,91.8859649122807,89.1566265060241,87.87878787878788,47.36842105263158,77.33050847457628,90.0,80.80055712214148,84.44401016220442
2025-05-06,90.29850746268657,37.83783783783784,54.76190476190476,81.81818181818181,71.01449275362319,92.63157894736842,74.04580152671755,88.97637795275591,40.77669902912621,39.83739837398374,93.75,90.63097514340345,74.19354838709677,87.96992481203007,54.83870967741935,67.6056338028169,81.25,83.65384615384616,65.68627450980392,86.92307692307692,52.525252525252526,78.94736842105263,92.53731343283582,79.73856209150327,78.84615384615384,91.66666666666667,78.3132530120482,82.57575757575758,44.73684210526316,72.66949152542372,86.28571428571429,74.10784339875327,79.77330467070549
2025-04-30,55.97014925373134,24.324324324324323,61.904761904761905,61.36363636363637,46.3768115942029,78.94736842105263,60.30534351145038,69.29133858267717,33.980582524271846,29.26829268292683,75.29761904761905,75.90822179732314,70.96774193548387,69.92481203007519,34.67741935483871,59.15492957746479,64.58333333333333,70.1923076923077,46.07843137254902,76.92307692307692,39.39393939393939,47.36842105263158,83.2089552238806,65.359477124183,59.61538461538461,74.78070175438596,40.963855421686745,65.65656565656566,31.57894736842105,54.66101694915254,63.42857142857143,57.78891413599709,62.907953879226106
2025-04-29,47.76119402985075,18.91891891891892,90.47619047619048,70.45454545454545,34.05797101449275,62.10526315789474,67.17557251908397,49.60629921259842,33.980582524271846,31.70731707317073,51.48809523809524,64.24474187380497,70.96774193548387,63.909774436090224,41.935483870967744,53.521126760563384,62.5,63.46153846153846,33.333333333333336,55.38461538461539,40.4040404040404,36.8421052631579,72.38805970149254,56.86274509803921,56.41025641025641,57.675438596491226,37.34939759036145,66.41414141414141,28.94736842105263,44.49152542372882,46.57142857142857,51.97892943773228,53.74242720343952
2025-04-28,38.059701492537314,18.91891891891892,97.61904761904762,70.45454545454545,24.63768115942029,42.10526315789474,78.62595419847328,39.37007874015748,28.155339805825243,22.764227642276424,38.095238095238095,46.27151051625239,58.064516129032256,50.37593984962406,42.74193548387097,40.84507042253521,50.0,49.03846153846154,27.45098039215686,36.92307692307692,41.41414141414141,31.57894736842105,52.985074626865675,49.01960784313726,44.23076923076923,42.98245614035088,31.325301204819276,54.54545454545455,27.63157894736842,31.779661016949152,35.142857142857146,43.327527000660616,42.40766073871409
2025-04-25,44.776119402985074,35.13513513513514,90.47619047619048,61.36363636363637,32.608695652173914,56.8421052631579,86.25954198473282,40.94488188976378,35.922330097087375,51.21951219512195,41.666666666666664,54.875717017208416,61.29032258064516,61.65413533834587,48.38709677419355,70.4225352112676,52.083333333333336,58.65384615384615,76.47058823529412,35.38461538461539,63.63636363636363,63.1578947368421,67.53731343283582,65.359477124183,60.256410256410255,43.85964912280702,42.16867469879518,65.65656565656566,51.31578947368421,40.889830508474574,42.57142857142857,54.930529108831976,52.33535274574946
2025-04-24,37.3134328358209,32.432432432432435,90.47619047619048,38.63636363636363,30.434782608695652,48.421052631578945,70.22900763358778,31.496062992125985,42.71844660194175,49.59349593495935,30.654761904761905,45.31548757170172,67.74193548387096,48.87218045112782,41.935483870967744,54.929577464788736,58.333333333333336,46.15384615384615,76.47058823529412,27.692307692307693,64.64646464646465,47.36842105263158,53.35820895522388,61.43790849673203,53.205128205128204,33.55263157894737,25.301204819277107,61.61616161616162,46.05263157894737,43.855932203389834,35.714285714285715,48.25676609073827,45.51495016611295
2025-04-23,41.791044776119406,18.91891891891892,59.523809523809526,29.545454545454547,41.30434782608695,47.36842105263158,54.19847328244275,44.881889763779526,35.922330097087375,53.65853658536585,47.32142857142857,50.478011472275334,58.064516129032256,48.87218045112782,46.774193548387096,61.971830985915496,50.0,50.0,78.43137254901961,37.69230769230769,77.77777777777777,52.63157894736842,62.6865671641791,58.169934640522875,58.333333333333336,46.92982456140351,28.91566265060241,61.86868686868687,52.63157894736842,41.52542372881356,34.0,49.4254656900402,49.28669142075435
2025-04-22,34.32835820895522,13.513513513513514,73.80952380952381,20.454545454545453,36.231884057971016,30.526315789473685,58.778625954198475,29.921259842519685,58.25242718446602,65.85365853658537,33.92857142857143,24.282982791587,58.064516129032256,36.8421052631579,53.225806451612904,61.971830985915496,50.0,57.69230769230769,80.3921568627451,37.69230769230769,84.84848484848484,63.1578947368421,22.388059701492537,55.55555555555556,51.92307692307692,31.57894736842105,30.120481927710845,50.75757575757576,60.526315789473685,45.33898305084746,16.857142857142858,46.0908134246972,40.47293335939027
