time,aver,sum,交通运输I,休闲服务I,传媒I,公用事业I,农林牧渔I,化工I,医药生物I,商业贸易I,国防军工I,家用电器I,建筑材料I,建筑装饰I,房地产I,有色金属I,机械设备I,汽车I,煤炭I,环保I,电子I,电气设备I,石油石化I,纺织服装I,综合I,美容护理I,计算机I,轻工制造I,通信I,采掘I,钢铁I,银行I,非银金融I,食品饮料I
2022-07-01,66.10133559465763,63.48568024752873,49.59349593495935,67.6056338028169,52.592592592592595,57.983193277310924,58.16326530612245,66.016713091922,68.96551724137932,58.65384615384615,66.66666666666667,83.95061728395062,81.08108108108108,61.146496815286625,58.97435897435897,62.40601503759399,74.05764966740577,55.416666666666664,34.21052631578947,82.3529411764706,78.64864864864865,70.06802721088435,19.565217391304348,78.37837837837837,66.66666666666667,79.3103448275862,61.12956810631229,82.3529411764706,71.17117117117117,,20.454545454545453,69.04761904761905,41.86046511627907,89.56521739130434
2022-06-30,69.02692389230442,66.10403998980307,53.65853658536585,77.46478873239437,66.66666666666667,37.81512605042017,51.02040816326531,61.559888579387184,76.55172413793103,63.46153846153846,72.80701754385964,87.65432098765432,79.72972972972973,61.78343949044586,67.52136752136752,62.40601503759399,74.72283813747228,57.5,34.21052631578947,59.66386554621849,84.32432432432432,77.21088435374149,19.565217391304348,72.07207207207207,70.83333333333333,79.3103448275862,71.76079734219269,86.76470588235294,76.57657657657657,,18.181818181818183,83.33333333333333,67.44186046511628,95.65217391304348
2022-06-29,67.03413186347255,63.945009597988495,45.52845528455285,69.01408450704226,57.03703703703704,40.33613445378151,41.83673469387755,58.77437325905292,71.26436781609195,46.15384615384615,71.05263157894737,87.65432098765432,81.08108108108108,61.146496815286625,71.7948717948718,60.902255639097746,73.17073170731707,72.08333333333333,36.8421052631579,53.78151260504202,82.16216216216216,75.51020408163265,19.565217391304348,66.66666666666667,79.16666666666667,79.3103448275862,75.41528239202658,84.55882352941177,71.17117117117117,,20.454545454545453,76.19047619047619,70.93023255813954,81.73913043478261
2022-06-28,80.94127623489506,76.59809987906716,56.91056910569106,78.87323943661971,75.55555555555556,68.0672268907563,60.204081632653065,78.27298050139275,85.05747126436782,60.57692307692308,91.2280701754386,92.5925925925926,83.78378378378379,57.961783439490446,49.572649572649574,85.71428571428571,90.68736141906874,94.16666666666667,50.0,74.78991596638656,91.08108108108108,95.23809523809524,34.78260869565217,78.37837837837837,87.5,79.3103448275862,88.37209302325581,92.6470588235294,89.1891891891892,,38.63636363636363,85.71428571428571,88.37209302325581,91.30434782608695
2022-06-27,74.66610133559466,68.75002904126274,42.27642276422764,76.05633802816901,65.92592592592592,52.94117647058823,58.16326530612245,72.14484679665738,85.05747126436782,46.15384615384615,85.08771929824562,88.88888888888889,81.08108108108108,49.681528662420384,47.00854700854701,79.69924812030075,86.69623059866963,91.25,36.8421052631579,57.142857142857146,83.51351351351352,93.87755102040816,19.565217391304348,69.36936936936937,66.66666666666667,75.86206896551724,78.07308970099668,86.02941176470588,75.67567567567568,,27.272727272727273,76.19047619047619,84.88372093023256,92.17391304347827
2022-06-24,73.07610769556922,65.87059510136508,34.146341463414636,74.64788732394366,60.0,50.42016806722689,56.12244897959184,69.35933147632312,83.67816091954023,37.5,91.2280701754386,92.5925925925926,74.32432432432432,40.76433121019108,47.863247863247864,75.93984962406014,85.14412416851441,92.91666666666667,10.526315789473685,53.78151260504202,84.05405405405405,94.21768707482993,13.043478260869565,66.66666666666667,54.166666666666664,72.41379310344827,83.38870431893687,84.55882352941177,77.47747747747748,,38.63636363636363,71.42857142857143,88.37209302325581,82.6086956521739
2022-06-23,68.41212635149459,61.515298370664006,27.642276422764226,50.70422535211268,51.851851851851855,53.78151260504202,54.08163265306123,61.00278551532033,78.39080459770115,33.65384615384615,78.94736842105263,86.41975308641975,70.27027027027027,38.21656050955414,50.427350427350426,76.69172932330827,82.92682926829268,92.91666666666667,13.157894736842104,46.21848739495798,78.10810810810811,90.81632653061224,15.217391304347826,55.85585585585586,45.833333333333336,72.41379310344827,80.06644518272425,77.94117647058823,67.56756756756756,,38.63636363636363,83.33333333333333,89.53488372093024,64.34782608695652
2022-06-22,55.416578333686665,49.25101765795375,20.32520325203252,45.070422535211264,45.925925925925924,45.378151260504204,51.02040816326531,49.30362116991643,77.47126436781609,19.23076923076923,33.333333333333336,74.07407407407408,51.351351351351354,22.929936305732483,31.623931623931625,60.150375939849624,65.41019955654102,80.0,15.789473684210526,31.932773109243698,56.21621621621622,87.07482993197279,17.391304347826086,42.34234234234234,33.333333333333336,65.51724137931035,55.81395348837209,63.23529411764706,52.252252252252255,,36.36363636363637,61.904761904761905,80.23255813953489,54.78260869565217
2022-06-21,73.73330506677974,68.21754680964975,30.08130081300813,78.87323943661971,80.0,76.47058823529412,60.204081632653065,69.08077994428969,82.75862068965517,32.69230769230769,65.78947368421052,87.65432098765432,81.08108108108108,47.77070063694268,56.41025641025641,73.6842105263158,83.14855875831486,78.33333333333333,10.526315789473685,57.983193277310924,80.8108108108108,90.1360544217687,28.26086956521739,74.77477477477477,37.5,75.86206896551724,87.37541528239203,88.97058823529412,78.37837837837837,,54.54545454545455,92.85714285714286,91.86046511627907,80.8695652173913
2022-06-20,76.72249311002756,70.91216774114723,38.21138211382114,78.87323943661971,67.4074074074074,82.3529411764706,67.34693877551021,77.99442896935933,84.36781609195403,38.46153846153846,85.08771929824562,88.88888888888889,75.67567567567568,41.40127388535032,40.17094017094017,86.46616541353383,86.69623059866963,84.16666666666667,18.42105263157895,69.74789915966386,83.78378378378379,94.21768707482993,36.95652173913044,74.77477477477477,41.666666666666664,79.3103448275862,88.70431893687707,88.23529411764706,79.27927927927928,,56.81818181818182,85.71428571428571,91.86046511627907,85.21739130434783
