,keyword,type,count
2011-01-31,熊市,all,190.000
2011-01-31,股票,all,12551.000
2011-01-31,上证,all,1337.000
2011-01-31,上证指数,all,14078.000
2011-01-31,纳斯达克指数,all,237.000
2011-01-31,恒生指数,all,369.000
2011-01-31,美股行情,all,388.000
2011-01-31,股市,all,2683.000
2011-01-31,创业板指,all,140.000
2011-01-31,中证500,all,261.000
2011-01-31,上证50,all,209.000
2011-01-31,基金,all,4637.000
2011-01-31,沪深300,all,443.000
2011-01-31,道琼斯指数,all,443.000
2011-01-31,a股,all,499.000
2011-02-01,a股,all,443.000
2011-02-01,基金,all,3864.000
2011-02-01,纳斯达克指数,all,192.000
2011-02-01,股票,all,12438.000
2011-02-01,熊市,all,182.000
2011-02-01,沪深300,all,370.000
2011-02-01,上证,all,1317.000
2011-02-01,上证50,all,193.000
2011-02-01,股市,all,2542.000
2011-02-01,道琼斯指数,all,422.000
2011-02-01,恒生指数,all,320.000
2011-02-01,美股行情,all,439.000
2011-02-01,中证500,all,244.000
2011-02-01,创业板指,all,133.000
2011-02-01,上证指数,all,12750.000
2011-02-01,港股,all,355.000
2011-02-01,牛市,all,183.000
2011-02-02,纳斯达克指数,all,201.000
2011-02-02,港股,all,290.000
2011-02-02,股市,all,1755.000
2011-02-02,上证,all,464.000
2011-02-02,恒生指数,all,254.000
2011-02-02,道琼斯指数,all,685.000
2011-02-02,股票,all,5424.000
2011-02-02,牛市,all,208.000
2011-02-02,中证500,all,135.000
2011-02-02,基金,all,2023.000
2011-02-02,a股,all,275.000
2011-02-02,上证指数,all,2294.000
2011-02-02,沪深300,all,212.000
2011-02-02,创业板指,all,57.000
2011-02-02,上证50,all,61.000
2011-02-02,美股行情,all,316.000
2011-02-02,熊市,all,170.000
2011-02-03,中证500,all,64.000
2011-02-03,沪深300,all,203.000
2011-02-03,纳斯达克指数,all,208.000
2011-02-03,创业板指,all,120.000
2011-02-03,上证50,all,124.000
2011-02-03,美股行情,all,419.000
2011-02-03,上证指数,all,1658.000
2011-02-03,上证,all,326.000
2011-02-03,道琼斯指数,all,517.000
2011-02-03,股票,all,5622.000
2011-02-03,股市,all,1721.000
2011-02-03,恒生指数,all,237.000
2011-02-03,牛市,all,179.000
2011-02-03,港股,all,257.000
2011-02-03,基金,all,2284.000
2011-02-03,a股,all,264.000
2011-02-03,熊市,all,168.000
2011-02-04,道琼斯指数,all,529.000
2011-02-04,港股,all,258.000
2011-02-04,纳斯达克指数,all,233.000
2011-02-04,上证50,all,127.000
2011-02-04,美股行情,all,450.000
2011-02-04,基金,all,2472.000
2011-02-04,股市,all,1732.000
2011-02-04,中证500,all,66.000
2011-02-04,a股,all,270.000
2011-02-04,恒生指数,all,233.000
2011-02-04,上证,all,366.000
2011-02-04,股票,all,6015.000
2011-02-04,牛市,all,165.000
2011-02-04,上证指数,all,1602.000
2011-02-04,沪深300,all,188.000
2011-02-04,熊市,all,178.000
2011-02-05,上证,all,363.000
2011-02-05,美股行情,all,420.000
2011-02-05,股票,all,6595.000
2011-02-05,纳斯达克指数,all,209.000
2011-02-05,基金,all,3129.000
2011-02-05,道琼斯指数,all,563.000
2011-02-05,恒生指数,all,247.000
2011-02-05,沪深300,all,204.000
2011-02-05,熊市,all,185.000
2011-02-05,a股,all,347.000
2011-02-05,港股,all,237.000
2011-02-05,上证50,all,152.000
2011-02-05,上证指数,all,1565.000
2011-02-05,牛市,all,175.000
2011-02-05,股市,all,1847.000
2011-02-05,中证500,all,128.000
2011-02-06,中证500,all,66.000
2011-02-06,美股行情,all,329.000
2011-02-06,牛市,all,211.000
2011-02-06,股票,all,6759.000
2011-02-06,创业板指,all,57.000
2011-02-06,上证50,all,146.000
2011-02-06,沪深300,all,219.000
2011-02-06,a股,all,325.000
2011-02-06,港股,all,297.000
2011-02-06,道琼斯指数,all,503.000
2011-02-06,股市,all,1860.000
2011-02-06,纳斯达克指数,all,238.000
2011-02-06,上证,all,348.000
2011-02-06,上证指数,all,1529.000
2011-02-06,熊市,all,178.000
2011-02-06,基金,all,3010.000
2011-02-06,恒生指数,all,271.000
2011-02-07,基金,all,3432.000
2011-02-07,a股,all,433.000
2011-02-07,中证500,all,78.000
2011-02-07,美股行情,all,441.000
2011-02-07,创业板指,all,58.000
2011-02-07,上证50,all,137.000
2011-02-07,沪深300,all,239.000
2011-02-07,道琼斯指数,all,553.000
2011-02-07,港股,all,624.000
2011-02-07,上证,all,469.000
2011-02-07,牛市,all,202.000
2011-02-07,股票,all,7868.000
2011-02-07,上证指数,all,1847.000
2011-02-07,恒生指数,all,550.000
2011-02-07,股市,all,2242.000
2011-02-07,纳斯达克指数,all,271.000
2011-02-07,熊市,all,179.000
2011-02-08,上证50,all,162.000
2011-02-08,上证,all,531.000
2011-02-08,创业板指,all,60.000
2011-02-08,美股行情,all,755.000
2011-02-08,纳斯达克指数,all,293.000
2011-02-08,恒生指数,all,851.000
2011-02-08,上证指数,all,2433.000
2011-02-08,股票,all,9729.000
2011-02-08,中证500,all,137.000
2011-02-08,道琼斯指数,all,1126.000
2011-02-08,港股,all,860.000
2011-02-08,沪深300,all,235.000
2011-02-08,熊市,all,202.000
2011-02-08,牛市,all,215.000
2011-02-08,a股,all,534.000
2011-02-08,股市,all,3168.000
2011-02-08,基金,all,4228.000
2011-02-09,港股,all,765.000
2011-02-09,熊市,all,218.000
2011-02-09,牛市,all,253.000
2011-02-09,上证指数,all,19471.000
